                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7502,                 3.8003,                 1.4714,                0.69354,                0.06546,                0.11165,                0.06356,                 1.5182,                 3.4459,                 1.2695,             0.00041045,             0.00041045,             0.00041045
                      2,                 1.6315,                 2.7628,                  1.298,                0.16108,                0.35714,                0.16006,                0.09042,                   1.64,                 2.6231,                 1.3575,             0.00082548,             0.00082548,             0.00082548
                      3,                 1.6241,                 2.5005,                  1.313,                0.17751,                0.35482,                0.16705,                0.08936,                 1.5263,                 2.8729,                 1.3365,              0.0012389,              0.0012389,              0.0012389
                      4,                 1.5537,                 2.4287,                 1.2804,                0.21137,                0.29323,                0.18286,                0.10168,                 1.5025,                 2.5029,                  1.316,              0.0012426,              0.0012426,              0.0012426
                      5,                 1.5606,                 2.3423,                 1.2845,                0.20798,                0.33191,                0.18787,                0.10218,                 1.5391,                 2.6517,                 1.3551,              0.0012426,              0.0012426,              0.0012426
                      6,                 1.5716,                 2.3589,                 1.2927,                0.18658,                0.37502,                0.19142,                0.10071,                 1.5694,                 2.5991,                 1.3116,              0.0012401,              0.0012401,              0.0012401
                      7,                 1.5656,                  2.407,                 1.2758,                0.19572,                0.41615,                0.20738,                0.10872,                 1.5673,                 2.5537,                 1.3027,              0.0012376,              0.0012376,              0.0012376
                      8,                  1.544,                 2.1892,                 1.2759,                0.21074,                0.45307,                0.18612,                0.10074,                 1.5146,                 2.3609,                 1.3095,              0.0012351,              0.0012351,              0.0012351
                      9,                  1.522,                 2.2421,                 1.2812,                0.20461,                0.42841,                0.20895,                0.11754,                 1.5117,                 2.3346,                 1.3099,              0.0012327,              0.0012327,              0.0012327
                     10,                 1.4972,                 2.1727,                 1.2645,                0.18918,                0.39018,                0.20669,                0.11151,                 1.5435,                 2.3942,                 1.3112,              0.0012302,              0.0012302,              0.0012302
                     11,                 1.4886,                 2.1472,                 1.2477,                0.20815,                0.40711,                0.22517,                0.12403,                 1.5223,                  2.383,                 1.3367,              0.0012277,              0.0012277,              0.0012277
                     12,                 1.5125,                 2.1572,                  1.269,                 0.2187,                0.35136,                0.21184,                0.11342,                 1.5212,                 2.3709,                 1.3129,              0.0012252,              0.0012252,              0.0012252
                     13,                 1.5704,                 2.1661,                 1.3018,                0.21763,                 0.4078,                0.20858,                0.11288,                 1.5093,                 2.4994,                 1.3287,              0.0012228,              0.0012228,              0.0012228
                     14,                 1.4788,                 2.1616,                 1.2673,                0.26508,                0.35056,                0.22521,                0.11295,                 1.4888,                 2.4769,                 1.3134,              0.0012203,              0.0012203,              0.0012203
                     15,                 1.4975,                 2.0934,                 1.2544,                0.18477,                0.33895,                0.19196,                0.10008,                 1.5257,                 2.6813,                 1.3169,              0.0012178,              0.0012178,              0.0012178
                     16,                 1.4961,                 2.0702,                 1.2668,                 0.2139,                0.40111,                 0.2358,                0.13285,                 1.4616,                 2.3848,                 1.2923,              0.0012154,              0.0012154,              0.0012154
                     17,                 1.4892,                 2.0163,                 1.2469,                0.24226,                 0.4391,                0.22495,                0.12056,                 1.5015,                 2.4459,                 1.3264,              0.0012129,              0.0012129,              0.0012129
                     18,                  1.467,                 2.0841,                 1.2469,                0.19228,                0.41941,                0.23053,                0.12689,                 1.5558,                 2.2515,                 1.3223,              0.0012104,              0.0012104,              0.0012104
                     19,                 1.4619,                 2.0245,                 1.2282,                0.26431,                0.43324,                0.23309,                0.12598,                 1.5324,                 2.4974,                 1.3307,              0.0012079,              0.0012079,              0.0012079
                     20,                 1.4727,                 2.0231,                 1.2275,                0.23168,                0.39005,                0.22209,                0.12452,                 1.4247,                 2.4245,                 1.2641,              0.0012055,              0.0012055,              0.0012055
                     21,                 1.4223,                 2.0219,                 1.2251,                0.20238,                0.44666,                0.23099,                0.13757,                 1.4631,                 2.2779,                 1.2899,               0.001203,               0.001203,               0.001203
                     22,                 1.4502,                 2.0157,                 1.2556,                0.24136,                0.29082,                 0.2329,                0.13156,                  1.474,                 2.2403,                 1.2933,              0.0012005,              0.0012005,              0.0012005
                     23,                 1.4313,                 1.9691,                  1.233,                0.29432,                0.35267,                0.25166,                0.14483,                   1.52,                 2.4169,                 1.3183,               0.001198,               0.001198,               0.001198
                     24,                 1.4259,                 2.0003,                 1.2193,                0.25034,                0.38276,                0.25161,                0.13805,                 1.5084,                 2.3234,                 1.3083,              0.0011955,              0.0011955,              0.0011955
                     25,                 1.4077,                 1.9517,                 1.2018,                0.50425,                0.37146,                0.25089,                0.13921,                 1.5558,                 2.2429,                  1.309,              0.0011931,              0.0011931,              0.0011931
                     26,                 1.4291,                 1.9169,                 1.2119,                0.48913,                0.33748,                0.24274,                0.13185,                 1.5345,                 2.2574,                  1.327,              0.0011906,              0.0011906,              0.0011906
                     27,                 1.4168,                  1.906,                 1.2262,                0.32636,                0.34376,                0.26202,                0.15243,                 1.5129,                 2.1933,                 1.3195,              0.0011881,              0.0011881,              0.0011881
                     28,                 1.4006,                 1.9222,                 1.2285,                0.27462,                0.40525,                0.25591,                0.13893,                 1.4511,                 2.4491,                 1.2875,              0.0011856,              0.0011856,              0.0011856
                     29,                 1.4108,                 1.9285,                 1.2099,                0.33924,                0.38365,                0.26637,                0.15189,                 1.4736,                 2.1915,                 1.2844,              0.0011832,              0.0011832,              0.0011832
                     30,                 1.4077,                 1.8735,                  1.191,                0.28787,                0.38785,                0.26093,                0.13756,                 1.5575,                 2.2652,                 1.3361,              0.0011807,              0.0011807,              0.0011807
                     31,                 1.4555,                 1.8473,                 1.2332,                 0.2917,                 0.3988,                0.25451,                0.14628,                 1.5602,                 2.3461,                 1.3435,              0.0011782,              0.0011782,              0.0011782
                     32,                 1.3807,                 1.8557,                 1.2004,                0.25498,                0.37108,                0.23153,                0.12989,                 1.4989,                 2.3394,                 1.2947,              0.0011757,              0.0011757,              0.0011757
                     33,                 1.4114,                  1.849,                 1.1986,                0.23955,                 0.4187,                0.25511,                0.13963,                 1.5284,                  2.652,                 1.3095,              0.0011733,              0.0011733,              0.0011733
                     34,                 1.4485,                 1.8657,                 1.2257,                0.26297,                0.42976,                0.25652,                 0.1404,                 1.5202,                 2.3036,                 1.3131,              0.0011708,              0.0011708,              0.0011708
                     35,                  1.403,                 1.7577,                 1.2147,                0.25827,                0.36479,                 0.2343,                0.12839,                 1.5125,                 2.4903,                 1.3214,              0.0011683,              0.0011683,              0.0011683
